date,open,high,low,close,volume
2024-03-25,93.71,93.75,93.3,93.51,24011800.0
2024-03-26,93.51,93.87,93.28,93.77,34423000.0
2024-03-27,93.99,94.7,93.94,94.7,50157816.0
2024-03-28,94.49,95.02,94.32,94.62,34540428.0
2024-04-01,93.29,93.3,92.46,92.55,48945448.0
2024-04-02,91.57,92.2,91.34,92.04,43086304.0
2024-04-03,91.26,92.05,91.05,92.02,45494441.0
2024-04-04,92.63,92.76,92.04,92.68,47957413.0
2024-04-05,91.69,92.18,91.38,91.39,42495899.0
2024-04-08,91.23,91.59,91.13,91.38,37879800.0
2024-04-09,91.87,92.36,91.84,92.23,32537023.0
2024-04-10,91.2,91.3,90.05,90.22,74368942.0
2024-04-11,90.38,90.44,89.51,89.81,65751200.0
2024-04-12,90.64,90.95,90.28,90.29,47900106.0
2024-04-15,89.22,89.26,88.52,88.89,55993100.0
2024-04-16,88.05,88.58,87.79,88.3,45103244.0
2024-04-17,88.87,89.38,88.46,89.28,57947000.0
2024-04-18,89.24,89.27,88.59,88.83,43839500.0
2024-04-19,89.39,89.39,88.91,89.15,44826771.0
2024-04-22,88.68,89.12,88.65,89.0,24969046.0
2024-04-23,88.73,89.54,88.55,89.03,27222722.0
2024-04-24,88.56,88.63,87.5,88.4,48986800.0
2024-04-25,87.46,87.9,87.34,87.78,49282640.0
2024-04-26,88.25,88.61,88.05,88.24,31589821.0
2024-04-29,88.66,89.02,88.48,88.98,39228621.0
2024-04-30,88.42,88.73,88.1,88.22,41054700.0
2024-05-01,88.6,89.21,88.24,88.56,59679513.0
2024-05-02,88.21,89.01,88.03,88.94,58925400.0
2024-05-03,89.93,90.12,89.27,89.84,50066100.0
2024-05-06,89.87,90.25,89.67,90.19,23868200.0
2024-05-07,90.9,91.24,90.61,90.74,30525831.0
2024-05-08,90.31,90.46,90.16,90.19,31171700.0
2024-05-09,89.87,90.77,89.82,90.63,39606723.0
2024-05-10,90.28,90.38,89.96,90.12,21913800.0
2024-05-13,90.55,90.61,90.31,90.35,23157500.0
2024-05-14,90.65,90.92,90.42,90.86,25746400.0
2024-05-15,91.87,92.26,91.63,92.1,65142900.0
2024-05-16,92.39,92.42,91.94,92.01,37902425.0
2024-05-17,91.64,91.8,91.34,91.39,24755012.0
2024-05-20,91.08,91.32,91.01,91.12,17922808.0
2024-05-21,91.73,91.77,91.43,91.59,15334425.0
2024-05-22,91.27,91.78,91.26,91.7,38073722.0
2024-05-23,91.8,91.8,90.82,91.11,51294700.0
2024-05-24,90.97,91.47,90.9,91.38,19164425.0
2024-05-28,91.33,91.36,90.03,90.07,45973742.0
2024-05-29,89.34,89.4,88.68,88.98,45508400.0
2024-05-30,89.6,89.97,89.44,89.84,29571700.0
2024-05-31,90.48,90.66,90.25,90.45,41308832.0
2024-06-03,90.64,91.67,90.61,91.6,42272100.0
2024-06-04,92.2,92.8,91.99,92.67,42581500.0
2024-06-05,93.0,93.35,92.39,93.35,43153900.0
2024-06-06,92.92,93.43,92.86,93.21,22891900.0
2024-06-07,91.83,91.83,91.4,91.5,35240500.0
2024-06-10,91.0,91.06,90.65,90.89,20593244.0
2024-06-11,91.03,91.87,90.92,91.83,30329207.0
2024-06-12,93.02,93.57,92.49,92.52,42554600.0
2024-06-13,93.22,93.99,92.95,93.88,33093800.0
2024-06-14,94.42,94.84,94.24,94.67,28776710.0
2024-06-17,93.52,93.81,93.28,93.73,31040202.0
2024-06-18,93.89,94.6,93.73,94.59,26881038.0
2024-06-20,93.41,94.0,93.34,93.96,30246300.0
2024-06-21,94.24,94.48,93.59,93.96,22830900.0
2024-06-24,94.05,94.34,93.74,94.34,56939100.0
2024-06-25,94.07,94.55,94.04,94.5,23160000.0
2024-06-26,93.28,93.47,93.11,93.15,38489135.0
2024-06-27,93.52,93.71,93.42,93.52,23140800.0
2024-06-28,93.73,93.77,91.78,91.78,55119600.0
2024-07-01,90.42,91.08,89.82,89.91,49735400.0
2024-07-02,90.68,90.81,90.08,90.61,34204719.0
2024-07-03,91.17,91.89,91.09,91.8,35563313.0
2024-07-05,92.27,92.73,91.9,92.56,34895512.0
2024-07-08,92.54,92.85,92.22,92.76,16095700.0
2024-07-09,92.47,92.68,91.87,92.35,30304136.0
2024-07-10,92.45,92.68,92.26,92.64,23572500.0
2024-07-11,93.68,94.14,93.47,93.54,49761800.0
2024-07-12,93.53,93.94,93.34,93.94,27796500.0
2024-07-15,93.0,93.3,92.78,92.86,37918900.0
2024-07-16,93.53,94.21,93.39,94.17,36383720.0
2024-07-17,93.92,94.4,93.69,94.19,29036838.0
2024-07-18,93.68,94.14,93.38,93.47,34553100.0
2024-07-19,93.04,93.16,92.82,92.92,32164700.0
2024-07-22,93.4,93.52,92.3,92.65,36160400.0
2024-07-23,92.81,93.03,92.49,92.52,23498000.0
2024-07-24,92.59,92.85,91.47,91.52,50757116.0
2024-07-25,92.03,92.86,91.96,92.27,44999100.0
2024-07-26,92.95,93.15,92.71,92.99,34423800.0
2024-07-29,93.67,93.69,93.22,93.49,25801347.0
2024-07-30,93.75,94.05,93.3,93.85,28169820.0
2024-07-31,94.53,94.84,94.24,94.81,47445300.0
2024-08-01,95.14,95.91,95.12,95.31,77254240.0
2024-08-02,97.0,98.37,96.89,98.28,91912942.0
2024-08-05,99.69,99.94,97.9,98.8,90686310.0
2024-08-06,98.15,98.41,96.59,96.59,61316900.0
2024-08-07,95.95,96.45,95.5,95.91,51337133.0
2024-08-08,95.12,95.4,94.84,95.32,37815800.0
2024-08-09,96.51,96.54,96.09,96.26,32141800.0
2024-08-12,96.03,96.82,95.88,96.61,24261400.0
2024-08-13,97.3,97.36,96.98,97.28,30366938.0
2024-08-14,97.55,98.16,97.51,97.89,31334100.0
2024-08-15,96.41,97.1,96.21,97.1,38723700.0
2024-08-16,97.44,97.54,97.01,97.44,28541000.0
2024-08-19,97.42,98.16,97.41,97.89,25322138.0
2024-08-20,98.32,98.86,98.12,98.67,25239303.0
2024-08-21,98.67,99.2,98.21,98.73,29230000.0
2024-08-22,98.23,98.3,97.43,97.75,33453848.0
2024-08-23,98.19,98.67,97.96,98.39,32005100.0
2024-08-26,98.69,98.7,98.08,98.14,23198710.0
2024-08-27,97.49,98.08,97.41,97.97,21507700.0
2024-08-28,98.01,98.2,97.73,97.85,18501411.0
2024-08-29,97.37,97.64,97.13,97.53,24988243.0
2024-08-30,97.68,97.99,96.47,96.49,42896200.0
2024-09-03,97.56,98.06,97.42,97.75,48947900.0
2024-09-04,97.88,99.03,97.81,99.01,40885200.0
2024-09-05,99.34,99.68,98.78,99.57,47450900.0
2024-09-06,99.55,100.78,99.19,99.56,57406404.0
2024-09-09,99.4,100.1,99.16,99.99,26961402.0
2024-09-10,99.87,100.91,99.82,100.69,31703409.0
2024-09-11,100.49,101.24,100.35,100.61,39497100.0
2024-09-12,100.36,100.55,99.69,100.14,41812529.0
2024-09-13,100.46,100.61,100.02,100.41,25722135.0
2024-09-16,100.63,101.37,100.41,101.33,30866300.0
2024-09-17,101.47,101.64,100.74,100.84,31699400.0
2024-09-18,100.24,100.73,99.54,99.59,48897047.0
2024-09-19,98.92,99.31,98.77,99.26,39979816.0
2024-09-20,98.99,99.25,98.72,98.88,37067600.0
2024-09-23,98.5,99.09,98.02,98.67,35703932.0
2024-09-24,98.0,98.89,97.85,98.65,31005400.0
2024-09-25,98.26,98.32,97.79,97.83,36738236.0
2024-09-26,98.07,98.25,97.42,98.06,33332315.0
2024-09-27,98.54,98.76,98.21,98.57,28317628.0
2024-09-30,98.64,98.71,97.88,98.1,34208260.0
2024-10-01,98.8,99.33,98.39,98.49,45254237.0
2024-10-02,97.36,97.73,97.06,97.66,35810800.0
2024-10-03,97.34,97.51,96.74,96.74,39677800.0
2024-10-04,95.44,95.96,95.4,95.55,56970281.0
2024-10-07,94.98,95.27,94.76,94.83,42606634.0
2024-10-08,94.39,95.03,94.34,94.99,33709600.0
2024-10-09,94.67,94.91,94.23,94.45,35807700.0
2024-10-10,93.88,94.09,93.41,94.08,53667400.0
2024-10-11,93.48,94.07,93.42,93.7,27406423.0
2024-10-14,93.04,93.78,92.98,93.77,28795344.0
2024-10-15,94.46,95.0,94.37,94.91,46429100.0
2024-10-16,95.39,95.62,95.14,95.31,32281500.0
2024-10-17,94.29,94.44,93.67,93.8,43427214.0
2024-10-18,94.05,94.28,93.86,93.87,25258632.0
2024-10-21,93.02,93.09,92.23,92.23,49504700.0
2024-10-22,92.65,92.76,92.09,92.32,32096900.0
2024-10-23,91.84,92.37,91.66,92.07,33354245.0
2024-10-24,92.23,93.0,91.96,92.66,32507400.0
2024-10-25,92.99,93.04,92.02,92.14,28667100.0
2024-10-28,92.27,92.29,91.42,91.89,33156500.0
2024-10-29,91.17,92.06,90.98,92.03,46545204.0
2024-10-30,92.84,93.29,92.16,92.3,41951100.0
2024-10-31,92.2,92.94,91.87,92.45,52173800.0
2024-11-01,92.26,92.52,90.8,90.84,80402000.0
2024-11-04,92.28,92.57,91.63,92.25,49747600.0
2024-11-05,92.03,92.9,91.6,92.74,46986037.0
2024-11-06,89.64,90.72,89.55,90.2,98895700.0
2024-11-07,90.75,91.62,90.65,91.33,56221411.0
2024-11-08,92.0,92.6,91.84,92.49,56756200.0
2024-11-11,92.25,92.3,91.62,92.04,22369200.0
2024-11-12,91.37,91.85,90.51,90.66,57908400.0
2024-11-13,91.52,91.54,89.72,89.8,49009127.0
2024-11-14,90.56,91.03,90.27,90.32,53328347.0
2024-11-15,89.92,90.65,89.51,90.08,73722402.0
2024-11-18,89.66,90.59,89.42,90.24,36058700.0
2024-11-19,90.82,91.07,90.62,90.7,29585102.0
2024-11-20,90.15,90.83,90.11,90.41,27755434.0
2024-11-21,90.45,90.85,90.0,90.34,28365740.0
2024-11-22,90.51,90.7,90.15,90.39,21547548.0
2024-11-25,92.2,92.78,91.99,92.73,56858036.0
2024-11-26,92.16,92.44,91.81,92.37,31122249.0
2024-11-27,93.04,93.38,92.67,93.01,39442200.0
2024-11-29,93.78,93.99,93.44,93.97,31905735.0
2024-12-02,93.27,94.15,93.0,93.87,39406033.0
2024-12-03,93.93,94.03,92.99,93.06,32768900.0
2024-12-04,92.61,94.19,92.54,94.06,35851100.0
2024-12-05,93.72,94.39,93.66,94.25,23695821.0
2024-12-06,94.72,94.85,94.02,94.39,31761525.0
2024-12-09,93.99,94.04,93.47,93.52,30509600.0
2024-12-10,93.02,93.3,92.91,93.08,28706500.0
2024-12-11,93.07,93.29,92.11,92.2,38748400.0
2024-12-12,91.64,91.75,91.0,91.08,45368400.0
2024-12-13,90.8,90.85,90.08,90.15,39486000.0
2024-12-16,90.55,90.62,90.05,90.42,23482300.0
2024-12-17,90.52,90.99,90.46,90.64,23839900.0
2024-12-18,89.97,90.37,89.14,89.16,61328421.0
2024-12-19,88.07,88.39,87.51,87.81,99083313.0
2024-12-20,88.53,88.91,88.29,88.31,45542412.0
2024-12-23,88.16,88.23,87.44,87.5,32764600.0
2024-12-24,87.04,87.89,86.98,87.87,22377628.0
2024-12-26,87.21,87.96,87.2,87.82,19996215.0
2024-12-27,87.48,87.78,87.06,87.1,27262321.0
2024-12-30,87.83,88.04,87.67,87.8,48519626.0
2024-12-31,88.13,88.28,87.26,87.33,31917307.0
2025-01-02,87.8,88.12,87.21,87.57,27841300.0
2025-01-03,87.72,87.88,87.18,87.29,21962204.0
2025-01-06,87.05,87.23,86.67,86.9,30231500.0
2025-01-07,86.6,86.77,85.79,85.92,41757200.0
2025-01-08,85.47,86.2,85.34,86.03,44590800.0
2025-01-10,85.28,85.85,85.16,85.46,47115832.0
2025-01-13,85.53,85.66,85.04,85.43,33258924.0
2025-01-14,85.23,85.36,84.89,85.29,33412900.0
2025-01-15,86.7,86.98,86.4,86.76,54120729.0
2025-01-16,86.64,87.4,86.28,87.04,34651100.0
2025-01-17,87.43,87.48,87.04,87.19,29875611.0
2025-01-21,87.89,88.17,87.63,87.97,30548614.0
2025-01-22,87.87,87.98,87.32,87.51,25278409.0
2025-01-23,86.64,86.99,86.53,86.83,31949017.0
2025-01-24,86.72,87.28,86.6,87.22,21110400.0
2025-01-27,88.16,88.43,87.85,88.25,42864203.0
2025-01-28,87.84,88.2,87.66,88.19,25519105.0
2025-01-29,88.43,88.62,87.63,88.01,25342800.0
