date,open,high,low,close,volume
2022-04-04,180.2439,180.81,179.58,180.37,7063124.0
2022-04-05,180.91,181.49,178.93,179.24,10808531.0
2022-04-06,179.78,180.31,178.7,179.66,8942121.0
2022-04-07,179.87,180.88,179.8,180.34,10122585.0
2022-04-08,180.52,181.82,180.52,181.47,10655681.0
2022-04-11,183.17,183.33,181.11,182.37,10071319.0
2022-04-12,184.04,184.64,182.96,183.77,12024560.0
2022-04-13,184.5,184.94,184.13,184.65,8651635.0
2022-04-14,184.28,184.41,182.88,184.04,9967178.0
2022-04-18,185.95,186.1,184.39,184.61,8886690.0
2022-04-19,183.19,183.6506,181.33,181.82,12560872.0
2022-04-20,181.59,182.72,181.35,182.71,7038625.0
2022-04-21,181.77,182.32,180.775,182.06,9627034.0
2022-04-22,180.7235,181.605,179.74,180.29,9146973.0
2022-04-25,177.17,177.51,176.48,177.05,13073688.0
2022-04-26,177.95,178.3,176.915,177.32,9042403.0
2022-04-27,176.4561,176.64,175.5,175.98,8854721.0
2022-04-28,175.92,176.965,175.69,176.93,6384762.0
2022-04-29,178.0667,178.615,176.71,176.91,7719702.0
2022-05-02,173.6121,174.65,172.98,173.63,14318600.0
2022-05-03,173.89,175.205,173.85,174.09,7214348.0
2022-05-04,174.32,176.35,173.67,175.8,10491681.0
2022-05-05,177.56,177.61,174.66,175.13,12794160.0
2022-05-06,175.39,176.56,174.86,175.42,7643269.0
2022-05-09,174.27,174.27,172.79,172.88,10742410.0
2022-05-10,173.8039,173.96,171.2,171.42,11010440.0
2022-05-11,172.51,173.32,172.2,172.82,9179592.0
2022-05-12,172.072,172.4,169.9,170.17,11626799.0
2022-05-13,168.312,169.62,168.01,168.79,13031057.0
2022-05-16,168.43,170.43,168.34,170.4,7319277.0
2022-05-17,170.44,170.53,169.1409,169.33,6441110.0
2022-05-18,169.01,170.21,168.81,169.42,7456600.0
2022-05-19,171.5489,172.5197,170.89,171.91,10580267.0
2022-05-20,171.71,172.24,170.89,172.03,6559056.0
2022-05-23,173.13,173.38,172.28,172.83,5518503.0
2022-05-24,173.47,174.41,173.35,174.13,6793991.0
2022-05-25,172.79,173.16,171.73,173.08,4595917.0
2022-05-26,172.13,172.93,171.76,172.76,6466982.0
2022-05-27,173.4901,173.52,172.64,172.85,3842824.0
2022-05-31,172.71,173.07,171.08,171.14,6243967.0
2022-06-01,172.2099,172.53,171.39,172.23,6946516.0
2022-06-02,173.66,174.45,173.49,174.35,5623129.0
2022-06-03,173.5285,173.965,172.25,172.58,5519407.0
2022-06-06,172.81,172.89,171.65,171.82,3766042.0
2022-06-07,172.11,173.05,171.985,172.94,3860035.0
2022-06-08,172.89,173.45,172.67,172.78,5140816.0
2022-06-09,172.45,172.59,171.58,172.23,4701143.0
2022-06-10,170.89,174.94,170.46,174.54,16856138.0
2022-06-13,171.18,171.335,169.61,169.93,13265243.0
2022-06-14,169.61,169.7309,168.3,168.57,7347935.0
2022-06-15,170.4,171.84,169.08,170.77,9000294.0
2022-06-16,170.56,172.77,170.17,172.69,8823558.0
2022-06-17,172.15,172.3,170.97,171.27,7407223.0
